rt,subject,trial_type,size,probe,predicted,phon_sim,probe_phon_sim
1.1302490234375,64,IN,4,B,0.5330357142857143,0.19718372093245481,0.24340169943749473
1.12710571289062,64,OUT,4,K,0.5335714285714286,0.36847082841570633,0.08333333333333336
1.74609375,64,IN,6,C,0.5351785714285714,0.3283617653695295,0.3065384140902211
1.37918090820312,64,IN,8,V,0.5222767857142857,0.25228361754945683,0.08885835256116377
1.41424560546875,64,OUT,4,P,0.538125,0.3305170542657881,0.2276709006307398
1.30706787109375,64,IN,6,T,0.540952380952381,0.27646392137738307,0.3403149125442452
1.45339965820312,64,OUT,8,H,0.5259375,0.3480154066072378,0.1138354503153699
1.5386962890625,64,IN,4,G,0.5228571428571429,0.25682694069731765,0.05590169943749474
1.5386962890625,64,IN,4,T,0.5155357142857143,0.1924500897298753,0.2886751345948129
1.19195556640625,64,IN,4,N,0.535625,0.18160536692240295,0.07453559924999299
1.13131713867188,64,OUT,4,B,0.5330357142857143,0.19718372093245481,0.24340169943749473
5.1287841796875,64,IN,8,L,0.5263392857142857,0.3101274476812385,0.36623019642775434
1.1942138671875,64,IN,4,S,0.5317857142857143,0.4050526535157812,0.5434386403648955
1.18014526367188,64,IN,6,R,0.5219642857142857,0.37709914353715973,0.39744363454885184
1.226318359375,64,OUT,4,S,0.5358928571428572,0.2078689325833263,0.4075789802736717
1.7027587890625,64,OUT,8,G,0.5306249999999999,0.3337099914959913,0.4238236585592528
1.36517333984375,64,OUT,6,C,0.5430952380952381,0.3686069386210581,0.3465943491321799
1.22137451171875,64,OUT,6,K,0.5212499999999999,0.26887190389960813,0.2554486784085176
3.06381225585938,64,OUT,6,V,0.5348809523809525,0.19325725614712158,0.1517806004204932
1.22015380859375,64,OUT,6,K,0.5212499999999999,0.26887190389960813,0.2554486784085176
1.22015380859375,64,OUT,6,C,0.5265476190476189,0.23032279375670203,0.25273296324905375
1.01315307617188,64,OUT,6,D,0.5249404761904762,0.2652050885593751,0.16431478834912847
2.48370361328125,64,IN,8,K,0.5506249999999999,0.29133847457542217,0.21257626738751215
1.21881103515625,64,IN,4,T,0.5225892857142858,0.25106159203112066,0.1822913414473247
1.09255981445312,64,IN,4,C,0.5339285714285714,0.46469587328064393,0.3645826828946494
1.09255981445312,64,IN,4,S,0.5238392857142857,0.2510615920311206,0.41605688747985425
2.87106323242188,64,OUT,8,N,0.5249107142857142,0.25051237398737763,0.35272628309268017
1.29312133789062,64,IN,6,Z,0.5228571428571428,0.28860660029560203,0.2732257784643956
1.22705078125,64,IN,8,G,0.5290625,0.24139068076004624,0.3040439051613187
1.22705078125,64,IN,8,Z,0.5370089285714286,0.23990991150665855,0.20126822852228382
1.00704956054688,64,IN,4,K,0.5447321428571428,0.2559814550157951,0.09622504486493764
1.76248168945312,64,IN,8,C,0.5317857142857143,0.21852241847967538,0.2209820034774249
2.07254028320312,64,IN,6,C,0.5433928571428571,0.16113687698064552,0.10937480486839482
1.13299560546875,64,OUT,4,T,0.5409821428571429,0.1517806004204932,0.2998396842794431
1.28695678710938,64,IN,6,K,0.5388690476190476,0.19106836025229595,0.06666666666666668
1.07232666015625,64,OUT,4,D,0.5416964285714285,0.13349284448993412,0.3714721825236927
2.48291015625,64,IN,8,K,0.5506249999999999,0.29133847457542217,0.21257626738751215
2.48291015625,64,IN,8,V,0.5336607142857143,0.2845189104535046,0.1237179148263484
1.07427978515625,64,OUT,4,K,0.5352678571428572,0.261906314838593,0.1555021169820366
1.195556640625,64,OUT,8,V,0.5236607142857144,0.26729320706988946,0.04166666666666668
1.195556640625,64,OUT,8,R,0.5214732142857142,0.22723983347403007,0.33657883224892227
1.11367797851562,64,IN,4,C,0.5439285714285713,0.3387937924061242,0.27851638631226233
1.11367797851562,64,IN,4,N,0.5214285714285714,0.27442872210295505,0.3118033988749895
0.943389892578125,64,IN,4,B,0.5483035714285714,0.3655626121623441,0.538675134594813
0.98211669921875,64,IN,4,D,0.5449999999999999,0.3330284437399271,0.49529624336492367
1.80715942382812,64,IN,6,R,0.5361309523809523,0.4435458003250795,0.17888543819998318
1.30929565429688,64,OUT,4,F,0.4983035714285714,0.2510615920311206,0.3714721825236927
1.10025024414062,64,OUT,6,K,0.5307142857142857,0.21250226512010909,0.1036680779880244
1.06491088867188,64,IN,4,Z,0.5118750000000001,0.24800564528543081,0.1924500897298753
1.29849243164062,64,IN,6,D,0.5455952380952381,0.32755239441129536,0.5281178536948046
1.13739013671875,64,IN,4,F,0.5391964285714286,0.2073361559760488,0.1924500897298753
1.3336181640625,64,OUT,4,P,0.5261607142857143,0.45164068940900437,0.3110042339640732
0.977783203125,64,IN,4,D,0.531875,0.4275412640416421,0.2324045318333193
0.977783203125,64,IN,4,R,0.5183928571428571,0.11111111111111115,0.12909944487358058
0.977783203125,64,IN,4,T,0.5229464285714287,0.3035612008409864,0.4146723119520976
1.18280029296875,64,OUT,4,T,0.5371428571428571,0.24800564528543087,0.08333333333333336
1.07150268554688,64,IN,4,D,0.5416964285714285,0.13349284448993412,0.3714721825236927
1.07150268554688,64,IN,4,C,0.5499107142857143,0.2029490695986518,0.1822913414473247
1.22360229492188,64,OUT,8,S,0.5338392857142857,0.2892808152154093,0.30720827378553905
1.22360229492188,64,OUT,8,L,0.5384375,0.2206043235094399,0.3293446407495884
2.41311645507812,64,IN,6,H,0.5280952380952382,0.14052866683832116,0.13333333333333336
1.07037353515625,64,IN,6,Z,0.5435714285714286,0.24542730297910997,0.18213672050459184
1.44540405273438,64,IN,8,Z,0.5295982142857143,0.28240990314685077,0.26657505768349127
1.03558349609375,64,OUT,8,L,0.5373214285714285,0.2840524907435268,0.4322548207492745
1.4578857421875,64,IN,4,K,0.5233928571428572,0.3035612008409864,0.3035612008409864
2.15377807617188,64,OUT,8,C,0.5321428571428571,0.3549733922277137,0.28663834822521506
2.437744140625,64,OUT,8,T,0.5286607142857143,0.20980888075029844,0.30161242851580167
0.972686767578125,64,IN,4,H,0.549375,0.14433756729740646,0.09622504486493764
0.96380615234375,64,IN,6,G,0.5279166666666667,0.3841398560994147,0.4126477998568793
2.04006958007812,64,IN,6,D,0.5407738095238095,0.2484045162283447,0.38094010767585035
0.825927734375,64,IN,8,G,0.5373660714285714,0.28870022908958637,0.2947484284691995
1.09823608398438,64,OUT,6,S,0.5385119047619047,0.1712456192722277,0.3679443650473854
